"name","version","symbolicName"
"Apache Felix EventAdmin","1.6.4","org.apache.felix.eventadmin"
"Apache Felix Health Check API","2.0.4","org.apache.felix.healthcheck.api"
"Apache Felix Health Check Core","2.3.0","org.apache.felix.healthcheck.core"
"Apache Felix Health Check General Checks","3.0.8","org.apache.felix.healthcheck.generalchecks"
"Apache Felix Health Check Webconsole Plugin","2.2.0","org.apache.felix.healthcheck.webconsoleplugin"
"Apache Felix Http Jetty","5.1.26","org.apache.felix.http.jetty"
"Apache Felix Http SSL Filter","2.0.2","org.apache.felix.http.sslfilter"
"Apache Felix Http Whiteboard","4.0.0","org.apache.felix.http.whiteboard"
"Apache Felix Inventory","2.0.0","org.apache.felix.inventory"
"Apache Felix JAAS Support","1.0.2","org.apache.felix.jaas"
"Apache Felix Log Service","1.2.6","org.apache.felix.log"
"Apache Felix Metatype Service","1.2.4","org.apache.felix.metatype"
"Apache Felix Servlet API","2.1.0","org.apache.felix.http.servlet-api"
"Apache Felix Thread Dump","1.0.0","org.apache.felix.org.apache.felix.threaddump"
"Apache Felix Web Console Event Plugin","1.2.0","org.apache.felix.webconsole.plugins.event"
"Apache Felix Web Console Memory Usage Plugin","1.1.0","org.apache.felix.webconsole.plugins.memoryusage"
"Apache Felix Web Console Package Admin Service Plugin","1.1.0","org.apache.felix.webconsole.plugins.packageadmin"
"Apache Felix Web Console Service Component Runtime/Declarative Services Plugin","2.3.0","org.apache.felix.webconsole.plugins.ds"
"Apache Felix Web Management Console","5.0.10","org.apache.felix.webconsole"
"Apache Geronimo Annotation Spec 1.3","1.0","org.apache.geronimo.specs.geronimo-annotation_1.3_spec"
"Apache Geronimo JSR-330 Spec API","1.0","org.apache.geronimo.specs.geronimo-atinject_1.0_spec"
"Apache Jackrabbit FileVault Core Bundle","3.8.4","org.apache.jackrabbit.vault"
"Apache Log4j API","2.20.0","org.apache.logging.log4j.api"
"Apache Log4j to SLF4J Adapter","2.20.0","org.apache.logging.log4j.to-slf4j"
"Apache Oltu - Commons - Encoded Token","1.0.1","org.apache.oltu.commons.encodedtoken"
"Apache Oltu - JOSE - JWS","1.0.1","org.apache.oltu.jose.jws"
"Apache Oltu - OAuth 2.0 - Common","1.0.1","org.apache.oltu.oauth2.common"
"Apache Oltu - OAuth 2.0 - JWT","1.0.3","org.apache.oltu.oauth2.jwt"
"Apache OpenNLP Tools","1.9.3","org.apache.opennlp.tools"
"Apache ServiceMix :: Bundles :: dom4j","2.1.3.1","org.apache.servicemix.bundles.dom4j"
"Apache ServiceMix :: Bundles :: jaxb-runtime","2.3.2.2","org.apache.servicemix.bundles.jaxb-runtime"
"Apache ServiceMix :: Bundles :: rhino","1.7.13.1","org.apache.servicemix.bundles.rhino"
"Apache ServiceMix :: Bundles :: saaj-impl","1.5.1.1","org.apache.servicemix.bundles.saaj-impl"
"Apache ServiceMix :: Specs :: JAXB API 2.3","2.3.0.3","org.apache.servicemix.specs.jaxb-api-2.3"
"Apache ServiceMix :: Specs :: JAXWS API 2.2","2.9.0","org.apache.servicemix.specs.jaxws-api-2.2"
"Apache ServiceMix :: Specs :: SAAJ API 1.3","2.8.0","org.apache.servicemix.specs.saaj-api-1.3"
"Apache Sling Adapter Manager Implementation","2.2.0","org.apache.sling.adapter"
"Apache Sling API","2.27.6","org.apache.sling.api"
"Apache Sling API Compatibility Bundle","1.0.6","sling-api-compat"
"Apache Sling Auth Core","1.6.2","org.apache.sling.auth.core"
"Apache Sling Bundle Resource Provider","2.3.4","org.apache.sling.bundleresource.impl"
"Apache Sling Commons Compiler","2.4.0","org.apache.sling.commons.compiler"
"Apache Sling Commons FileSystem ClassLoader","1.0.14","org.apache.sling.commons.fsclassloader"
"Apache Sling Commons HTML Utilities","1.1.0","org.apache.sling.commons.html"
"Apache Sling Commons Johnzon Wrapper Library","1.2.16","org.apache.sling.commons.johnzon"
"Apache Sling Commons JSON","2.0.28","org.apache.sling.commons.json"
"Apache Sling Commons Log","5.5.0","org.apache.sling.commons.log"
"Apache Sling Commons Metrics","1.2.14","org.apache.sling.commons.metrics"
"Apache Sling Commons Metrics RRD4J","1.0.6","org.apache.sling.commons.metrics-rrd4j"
"Apache Sling Commons MIME","2.2.4","org.apache.sling.commons.mime"
"Apache Sling Commons OSGi support","2.4.2","org.apache.sling.commons.osgi"
"Apache Sling Commons Scheduler Support","2.7.12","org.apache.sling.commons.scheduler"
"Apache Sling Commons Threads","3.3.0","org.apache.sling.commons.threads"
"Apache Sling Content Detection Support","1.0.4","org.apache.sling.commons.contentdetection"
"Apache Sling Context-Aware Configuration API","1.3.0","org.apache.sling.caconfig.api"
"Apache Sling Context-Aware Configuration Implementation","1.7.2","org.apache.sling.caconfig.impl"
"Apache Sling Context-Aware Configuration SPI","1.4.0","org.apache.sling.caconfig.spi"
"Apache Sling DataSource Provider","1.0.4","org.apache.sling.datasource"
"Apache Sling Default GET Servlets (Adobe Vendor Branch)","2.1.44.B0002","org.apache.sling.servlets.get"
"Apache Sling Discovery API","1.0.4","org.apache.sling.discovery.api"
"Apache Sling Discovery Base","2.0.14","org.apache.sling.discovery.base"
"Apache Sling Discovery Commons","1.0.28","org.apache.sling.discovery.commons"
"Apache Sling Discovery Support Bundle","1.0.6","org.apache.sling.discovery.support"
"Apache Sling Distributed Event Admin","1.1.4","org.apache.sling.event.dea"
"Apache Sling Distribution API","0.7.2","org.apache.sling.distribution.api"
"Apache Sling Distribution Core","0.7.2","org.apache.sling.distribution.core"
"Apache Sling Dynamic Class Loader Support","1.4.4","org.apache.sling.commons.classloader"
"Apache Sling Engine","2.16.2","org.apache.sling.engine"
"Apache Sling Event","4.3.14","org.apache.sling.event"
"Apache Sling Feature Flags","1.2.2","org.apache.sling.featureflags"
"Apache Sling File Installer","1.2.2","org.apache.sling.installer.provider.file"
"Apache Sling Health Check API","1.0.4","org.apache.sling.hc.api"
"Apache Sling Health Check Core","1.2.10","org.apache.sling.hc.core"
"Apache Sling Health Check Webconsole Plugin","1.1.2","org.apache.sling.hc.webconsole"
"Apache Sling Hypermedia API tools","1.1.0","org.apache.sling.hapi"
"Apache Sling I18N Support","2.6.6","org.apache.sling.i18n"
"Apache Sling Initial Content Loader","2.5.0","org.apache.sling.jcr.contentloader"
"Apache Sling Installer Configuration Factory","1.4.6","org.apache.sling.installer.factory.configuration"
"Apache Sling Installer Core","3.14.4","org.apache.sling.installer.core"
"Apache Sling Installer Web Console Plugin","1.1.2","org.apache.sling.installer.console"
"Apache Sling Inventory Printer Based on Resources","1.0.8","org.apache.sling.resource.inventory"
"Apache Sling javax.activation bundle","0.3.0","org.apache.sling.javax.activation"
"Apache Sling JCR Base","3.1.14","org.apache.sling.jcr.base"
"Apache Sling JCR DavEx","1.3.10","org.apache.sling.jcr.davex"
"Apache Sling JCR Installer","3.3.1.T20250711074223-9df57f6","org.apache.sling.installer.provider.jcr"
"Apache Sling JCR Repository Registration","1.0.6","org.apache.sling.jcr.registration"
"Apache Sling JCR Resource","3.3.2","org.apache.sling.jcr.resource"
"Apache Sling JCR Resource Security","1.1.0","org.apache.sling.jcr.resourcesecurity"
